"NetworkId","EventID","CreatedLOcalDateTime","VehicleType","Color",
"WC",60558,01/01/16 00:52,"Car","White",
"WC",60559,01/01/16 00:49,"Car","Other",
"WC",60560,01/01/16 02:23,"Car","Other",
"WC",60560,01/01/16 02:23,"Car","Other",
"WC",60561,01/01/16 02:55,"Car","White",
"WC",60562,01/01/16 03:39,"Car","Other",
"WC",60562,01/01/16 03:39,"Car","Other",
"WC",60564,01/01/16 06:32,"Minibus","White",
"WC",60565,01/01/16 07:05,"Car","White",
"WC",60565,01/01/16 07:05,"LDV","White",
"WC",60567,01/01/16 07:39,"Minibus","White",
"WC",60567,01/01/16 07:39,"Car","Silver",
"WC",60568,01/01/16 08:00,"Car","Other",
"WC",60569,01/01/16 08:43,"Car","White",
"WC",60570,01/01/16 09:02,"LDV","White",
"WC",60571,01/01/16 09:17,"Car","Other",
"WC",60573,01/01/16 11:39,"Minibus","White",
"WC",60574,01/01/16 11:47,"LDV","White",
"WC",60576,01/01/16 12:30,"Taxi","White",
"WC",60577,01/01/16 13:16,"LDV","White",
"WC",60579,01/01/16 14:16,"Car","Silver",
"WC",60580,01/01/16 14:21,"Car","White",
"WC",60581,01/01/16 14:23,"Car","Red",
"WC",60582,01/01/16 14:48,"Car","Other",
"WC",60583,01/01/16 15:26,"Car","Other",
"WC",60584,01/01/16 15:52,"Car","White",
"WC",60585,01/01/16 16:56,"LDV","White",
"WC",60586,01/01/16 17:04,"Truck","Other",
"WC",60587,01/01/16 17:15,"Car","White",
"WC",60587,01/01/16 17:15,"Car","Silver",
"WC",60588,01/01/16 18:08,"LDV","Other",
"WC",60592,01/01/16 23:22,"Car","White",
"WC",60594,02/01/16 00:02,"Car","Beige",
"WC",60595,02/01/16 00:38,"LDV","Other",
"WC",60597,02/01/16 04:32,"Car","Beige",
"WC",60598,02/01/16 07:48,"Car","White",
"WC",60600,02/01/16 09:01,"Car","White",
"WC",60603,02/01/16 11:00,"LDV","White",
"WC",60604,02/01/16 11:09,"LDV","White",
"WC",60605,02/01/16 11:24,"Car","White",
"WC",60606,02/01/16 12:06,"Car","Black",
"WC",60608,02/01/16 13:27,"Car","White",
"WC",60608,02/01/16 13:27,"Car","Silver",
"WC",60610,02/01/16 13:58,"Car","Red",
"WC",60611,02/01/16 14:09,"Car","Green",
"WC",60611,02/01/16 14:09,"Car","White",
"WC",60612,02/01/16 14:20,"LDV","White",
"WC",60614,02/01/16 15:12,"Car","Silver",
"WC",60616,02/01/16 16:21,"Car","Red",
"WC",60617,02/01/16 16:24,"LDV","White",
"WC",60619,02/01/16 17:20,"Truck","White",
"WC",60622,02/01/16 22:03,"Car","Other",
"WC",60623,02/01/16 22:51,"Car","Other",
"WC",60625,03/01/16 02:51,"Truck","Other",
"WC",60626,03/01/16 03:47,"Car","Silver",
"WC",60626,03/01/16 03:47,"Car","Other",
"WC",60627,03/01/16 04:12,"Other","White",
"WC",60627,03/01/16 04:12,"Taxi","White",
"WC",60628,03/01/16 06:21,"Car","Other",
"WC",60630,03/01/16 08:37,"Car","Other",
"WC",60631,03/01/16 08:40,"Car","White",
"WC",60631,03/01/16 08:40,"Motorcycle","Blue",
"WC",60632,03/01/16 09:37,"LDV","Other",
"WC",60633,03/01/16 10:03,"Car","Other",
"WC",60634,03/01/16 10:38,"Truck","White",
"WC",60637,03/01/16 11:37,"Car","Other",
"WC",60639,03/01/16 12:08,"LDV","White",
"WC",60644,03/01/16 13:53,"Car","Beige",
"WC",60648,03/01/16 17:38,"Car","White",
"WC",60649,03/01/16 18:54,"Car","Red",
"WC",60649,03/01/16 18:54,"Car","Beige",
"WC",60650,03/01/16 21:20,"Car","Other",
"WC",60651,03/01/16 22:14,"Car","Silver",
"WC",60652,03/01/16 22:28,"Car","Other",
"WC",60653,03/01/16 22:43,"Car","White",
"WC",60654,03/01/16 23:07,"Car","Other",
"WC",60655,04/01/16 00:01,"Car","Black",
"WC",60655,04/01/16 00:01,"Car","Other",
"WC",60656,04/01/16 00:18,"Car","Other",
"WC",60658,04/01/16 01:59,"Car","Other",
"WC",60659,04/01/16 02:39,"Car","Other",
"WC",60659,04/01/16 02:39,"Car","Other",
"WC",60660,04/01/16 03:15,"Minibus","Other",
"WC",60661,04/01/16 04:25,"Car","Other",
"WC",60662,04/01/16 04:53,"Car","White",
"WC",60662,04/01/16 04:53,"Car","Black",
"WC",60663,04/01/16 05:49,"Truck","White",
"WC",60663,04/01/16 05:49,"Truck","White",
"WC",60663,04/01/16 05:49,"Car","Other",
"WC",60663,04/01/16 05:49,"Car","Black",
"WC",60664,04/01/16 06:05,"Car","White",
"WC",60668,04/01/16 07:30,"Truck","Other",
"WC",60669,04/01/16 07:59,"Car","White",
"WC",60670,04/01/16 08:47,"Taxi","White",
"WC",60672,04/01/16 09:46,"LDV","White",
"WC",60673,04/01/16 10:45,"Car","Black",
"WC",60674,04/01/16 10:52,"Minibus","White",
"WC",60675,04/01/16 10:53,"Car","White",
"WC",60676,04/01/16 10:55,"Car","Other",
"WC",60677,04/01/16 11:17,"Car","Red",
"WC",60678,04/01/16 11:34,"Truck","Other",
"WC",60679,04/01/16 11:43,"Car","Other",
"WC",60682,04/01/16 12:02,"Taxi","White",
"WC",60683,04/01/16 12:03,"Truck","White",
"WC",60684,04/01/16 12:30,"Car","White",
"WC",60688,04/01/16 13:29,"Car","Silver",
"WC",60688,04/01/16 13:29,"Car","Green",
"WC",60690,04/01/16 13:44,"Truck","White",
"WC",60691,04/01/16 13:52,"Minibus","Silver",
"WC",60692,04/01/16 13:58,"Car","Silver",
"WC",60693,04/01/16 14:09,"LDV","White",
"WC",60694,04/01/16 14:11,"Bus","White",
"WC",60695,04/01/16 14:13,"Car","White",
"WC",60696,04/01/16 14:17,"Truck","White",
"WC",60697,04/01/16 14:22,"Car","White",
"WC",60699,04/01/16 15:18,"Car","Blue",
"WC",60700,04/01/16 15:30,"Car","Green",
"WC",60701,04/01/16 15:34,"LDV","White",
"WC",60702,04/01/16 15:53,"Truck","White",
"WC",60703,04/01/16 16:03,"Car","Black",
"WC",60704,04/01/16 16:14,"LDV","White",
"WC",60706,04/01/16 16:18,"LDV","Other",
"WC",60707,04/01/16 16:37,"Minibus","White",
"WC",60709,04/01/16 16:56,"Car","Silver",
"WC",60710,04/01/16 17:16,"LDV","White",
"WC",60711,04/01/16 17:35,"Car","White",
"WC",60713,04/01/16 18:00,"LDV","White",
"WC",60713,04/01/16 18:00,"Car","Green",
"WC",60715,04/01/16 18:49,"Car","Red",
"WC",60716,04/01/16 21:16,"Car","White",
"WC",60725,05/01/16 02:35,"Taxi","White",
"WC",60726,05/01/16 02:54,"Car","Other",
"WC",60727,05/01/16 03:25,"Taxi","White",
"WC",60730,05/01/16 04:38,"LDV","White",
"WC",60731,05/01/16 06:12,"LDV","Black",
"WC",60733,05/01/16 06:54,"Bus","White",
"WC",60734,05/01/16 07:20,"Truck","White",
"WC",60736,05/01/16 07:32,"Car","White",
"WC",60737,05/01/16 07:48,"Car","Other",
"WC",60737,05/01/16 07:48,"Motorcycle","Other",
"WC",60738,05/01/16 07:53,"LDV","White",
"WC",60739,05/01/16 07:58,"Truck","White",
"WC",60739,05/01/16 07:58,"Truck","White",
"WC",60741,05/01/16 08:22,"LDV","White",
"WC",60742,05/01/16 08:28,"Truck","White",
"WC",60744,05/01/16 08:37,"Car","Black",
"WC",60746,05/01/16 08:49,"Car","Silver",
"WC",60747,05/01/16 08:54,"Taxi","White",
"WC",60748,05/01/16 09:08,"Car","White",
"WC",60750,05/01/16 09:40,"Minibus","White",
"WC",60753,05/01/16 10:57,"Truck","White",
"WC",60754,05/01/16 12:14,"Truck","White",
"WC",60756,05/01/16 13:35,"Car","White",
"WC",60756,05/01/16 13:35,"Car","White",
"WC",60756,05/01/16 13:35,"Motorcycle","Black",
"WC",60758,05/01/16 14:11,"LDV","White",
"WC",60759,05/01/16 14:27,"Truck","Black",
"WC",60760,05/01/16 14:39,"LDV","White",
"WC",60761,05/01/16 14:41,"LDV","White",
"WC",60765,05/01/16 16:09,"Car","Other",
"WC",60766,05/01/16 16:19,"LDV","White",
"WC",60767,05/01/16 16:21,"Car","White",
"WC",60768,05/01/16 16:28,"Car","Silver",
"WC",60770,05/01/16 16:59,"Truck","White",
"WC",60771,05/01/16 17:15,"Minibus","White",
"WC",60772,05/01/16 17:52,"Bus","White",
"WC",60773,05/01/16 17:59,"Truck","White",
"WC",60773,05/01/16 17:59,"Truck","White",
"WC",60776,05/01/16 19:34,"Bus","Black",
"WC",60777,05/01/16 21:48,"Car","White",
"WC",60778,05/01/16 23:42,"Car","Other",
"WC",60779,06/01/16 01:44,"Taxi","White",
"WC",60780,06/01/16 05:20,"Car","Other",
"WC",60781,06/01/16 05:37,"Car","Other",
"WC",60782,06/01/16 06:11,"LDV","White",
"WC",60783,06/01/16 06:28,"Truck","Other",
"WC",60784,06/01/16 06:29,"Bus","White",
"WC",60785,06/01/16 07:21,"Truck","Blue",
"WC",60786,06/01/16 07:24,"Car","White",
"WC",60787,06/01/16 07:32,"Car","White",
"WC",60788,06/01/16 07:33,"Car","White",
"WC",60789,06/01/16 07:35,"LDV","White",
"WC",60793,06/01/16 08:19,"LDV","White",
"WC",60794,06/01/16 08:26,"Car","Yellow",
"WC",60795,06/01/16 09:18,"LDV","Black",
"WC",60797,06/01/16 10:27,"Truck","White",
"WC",60798,06/01/16 10:50,"LDV","White",
"WC",60799,06/01/16 10:52,"Truck","Other",
"WC",60801,06/01/16 11:13,"Car","Black",
"WC",60801,06/01/16 11:13,"Truck","Yellow",
"WC",60803,06/01/16 12:15,"Minibus","White",
"WC",60804,06/01/16 13:21,"Truck","White",
"WC",60806,06/01/16 13:46,"LDV","White",
"WC",60807,06/01/16 14:00,"Car","White",
"WC",60808,06/01/16 14:11,"Bus","White",
"WC",60809,06/01/16 14:20,"LDV","White",
"WC",60810,06/01/16 15:15,"LDV","White",
"WC",60812,06/01/16 15:28,"Car","White",
"WC",60814,06/01/16 15:54,"LDV","White",
"WC",60815,06/01/16 16:03,"Truck","White",
"WC",60816,06/01/16 16:23,"Car","White",
"WC",60817,06/01/16 16:28,"LDV","White",
"WC",60818,06/01/16 16:33,"Car","White",
"WC",60819,06/01/16 16:35,"Car","Silver",
"WC",60820,06/01/16 17:01,"Car","White",
"WC",60820,06/01/16 17:01,"Car","Beige",
"WC",60821,06/01/16 17:19,"LDV","White",
"WC",60822,06/01/16 17:23,"LDV","White",
"WC",60823,06/01/16 17:29,"LDV","White",
"WC",60824,06/01/16 17:39,"Car","White",
"WC",60829,06/01/16 19:34,"Truck","Silver",
"WC",60832,06/01/16 22:10,"LDV","White",
"WC",60833,07/01/16 00:32,"Car","Other",
"WC",60834,07/01/16 00:55,"Car","Other",
"WC",60835,07/01/16 00:58,"Car","Other",
"WC",60837,07/01/16 04:01,"Minibus","White",
"WC",60837,07/01/16 04:01,"Minibus","White",
"WC",60838,07/01/16 04:28,"Car","White",
"WC",60839,07/01/16 04:48,"Car","Red",
"WC",60841,07/01/16 06:02,"Car","Silver",
"WC",60842,07/01/16 06:13,"Minibus","White",
"WC",60844,07/01/16 06:17,"Car","Blue",
"WC",60845,07/01/16 06:29,"Car","Silver",
"WC",60845,07/01/16 06:29,"LDV","White",
"WC",60846,07/01/16 07:05,"LDV","White",
"WC",60847,07/01/16 07:07,"Car","Silver",
"WC",60848,07/01/16 07:24,"Car","Black",
"WC",60849,07/01/16 07:41,"LDV","White",
"WC",60850,07/01/16 07:45,"Truck","Other",
"WC",60851,07/01/16 08:27,"Taxi","White",
"WC",60852,07/01/16 08:29,"LDV","Other",
"WC",60853,07/01/16 09:20,"Car","White",
"WC",60854,07/01/16 09:22,"Car","Silver",
"WC",60855,07/01/16 09:29,"Truck","White",
"WC",60856,07/01/16 10:11,"LDV","Other",
"WC",60858,07/01/16 10:27,"Truck","White",
"WC",60860,07/01/16 10:46,"Car","Other",
"WC",60861,07/01/16 10:59,"Bus","White",
"WC",60862,07/01/16 11:17,"Car","White",
"WC",60863,07/01/16 12:16,"Car","White",
"WC",60864,07/01/16 12:34,"Car","Silver",
"WC",60867,07/01/16 13:13,"Car","Blue",
"WC",60868,07/01/16 13:33,"Truck","White",
"WC",60869,07/01/16 13:38,"Car","White",
"WC",60870,07/01/16 13:54,"LDV","Blue",
"WC",60872,07/01/16 14:01,"Bus","White",
"WC",60874,07/01/16 14:18,"Truck","White",
"WC",60875,07/01/16 14:19,"LDV","White",
"WC",60876,07/01/16 14:40,"Motorcycle","Red",
"WC",60877,07/01/16 14:48,"LDV","White",
"WC",60878,07/01/16 14:49,"Car","White",
"WC",60879,07/01/16 14:57,"Car","White",
"WC",60881,07/01/16 15:07,"Car","White",
"WC",60882,07/01/16 15:08,"Truck","White",
"WC",60883,07/01/16 15:11,"Truck","White",
"WC",60884,07/01/16 15:18,"LDV","White",
"WC",60885,07/01/16 15:27,"Car","Other",
"WC",60887,07/01/16 15:46,"Car","Black",
"WC",60888,07/01/16 16:00,"Bus","Blue",
"WC",60888,07/01/16 16:00,"Truck","White",
"WC",60889,07/01/16 16:17,"LDV","White",
"WC",60889,07/01/16 16:17,"Car","Blue",
"WC",60889,07/01/16 16:17,"Car","Red",
"WC",60890,07/01/16 16:43,"LDV","Other",
"WC",60891,07/01/16 17:06,"Car","Silver",
"WC",60893,07/01/16 17:14,"Car","Blue",
"WC",60893,07/01/16 17:14,"LDV","Silver",
"WC",60894,07/01/16 17:17,"Car","Blue",
"WC",60895,07/01/16 17:32,"LDV","White",
"WC",60897,07/01/16 18:18,"Car","Black",
"WC",60899,07/01/16 19:21,"Car","White",
"WC",60900,07/01/16 22:26,"Truck","White",
"WC",60901,07/01/16 22:40,"Car","Other",
"WC",60902,07/01/16 23:56,"Car","White",
"WC",60903,08/01/16 00:14,"Taxi","White",
"WC",60904,08/01/16 04:50,"Car","Other",
"WC",60904,08/01/16 04:50,"Car","Other",
"WC",60905,08/01/16 07:09,"Minibus","White",
"WC",60906,08/01/16 07:16,"Taxi","White",
"WC",60906,08/01/16 07:16,"Taxi","White",
"WC",60908,08/01/16 07:48,"Car","Other",
"WC",60909,08/01/16 07:51,"Car","Silver",
"WC",60909,08/01/16 07:51,"Car","Black",
"WC",60911,08/01/16 08:22,"Car","White",
"WC",60912,08/01/16 08:22,"Bus","White",
"WC",60916,08/01/16 09:02,"Truck","White",
"WC",60916,08/01/16 09:02,"LDV","White",
"WC",60917,08/01/16 09:21,"LDV","White",
"WC",60920,08/01/16 09:37,"Truck","White",
"WC",60924,08/01/16 10:23,"Car","Silver",
"WC",60926,08/01/16 10:45,"Car","White",
"WC",60928,08/01/16 11:02,"Car","White",
"WC",60931,08/01/16 11:50,"Bus","Blue",
"WC",60932,08/01/16 11:51,"Truck","Other",
"WC",60933,08/01/16 12:10,"Truck","White",
"WC",60934,08/01/16 13:14,"Car","Red",
"WC",60935,08/01/16 13:17,"Car","Red",
"WC",60937,08/01/16 13:42,"LDV","Other",
"WC",60939,08/01/16 14:07,"Car","White",
"WC",60939,08/01/16 14:07,"Truck","White",
"WC",60940,08/01/16 14:09,"Truck","Red",
"WC",60941,08/01/16 14:13,"Taxi","White",
"WC",60941,08/01/16 14:13,"Taxi","White",
"WC",60942,08/01/16 14:14,"Minibus","White",
"WC",60943,08/01/16 14:22,"LDV","White",
"WC",60944,08/01/16 14:26,"LDV","Silver",
"WC",60946,08/01/16 14:29,"Truck","Yellow",
"WC",60946,08/01/16 14:29,"Bus","Beige",
"WC",60947,08/01/16 14:48,"LDV","White",
"WC",60952,08/01/16 15:37,"LDV","White",
"WC",60953,08/01/16 15:55,"Truck","White",
"WC",60955,08/01/16 16:11,"LDV","White",
"WC",60956,08/01/16 16:24,"Car","White",
"WC",60958,08/01/16 17:15,"Other","White",
"WC",60959,08/01/16 17:20,"Car","Silver",
"WC",60960,08/01/16 17:29,"LDV","Blue",
