DS VDS 125 IB;2017-06-01;0;1;1;1;26;0.342413;114.476206;29
DS VDS 125 IB;2017-06-01;0;1;1;2;0;0.342413;114.476206;29
DS VDS 125 IB;2017-06-01;0;1;1;3;1;0.342413;114.476206;29
DS VDS 125 IB;2017-06-01;0;2;1;1;38;1.017446;95.624468;69
DS VDS 125 IB;2017-06-01;0;2;1;2;13;1.017446;95.624468;69
DS VDS 125 IB;2017-06-01;0;2;1;3;18;1.017446;95.624468;69
DS VDS 125 IB;2017-06-01;1;1;1;1;15;0.288461;126.391538;15
DS VDS 125 IB;2017-06-01;1;1;1;2;0;0.288461;126.391538;15
DS VDS 125 IB;2017-06-01;1;1;1;3;0;0.288461;126.391538;15
DS VDS 125 IB;2017-06-01;1;2;1;1;29;1.121463;95.331463;55
DS VDS 125 IB;2017-06-01;1;2;1;2;4;1.121463;95.331463;55
DS VDS 125 IB;2017-06-01;1;2;1;3;22;1.121463;95.331463;55
DS VDS 125 IB;2017-06-01;2;1;1;1;16;0.312000;123.874000;17
DS VDS 125 IB;2017-06-01;2;1;1;2;1;0.312000;123.874000;17
DS VDS 125 IB;2017-06-01;2;1;1;3;0;0.312000;123.874000;17
DS VDS 125 IB;2017-06-01;2;2;1;1;21;1.084000;96.451142;43
DS VDS 125 IB;2017-06-01;2;2;1;2;4;1.084000;96.451142;43
DS VDS 125 IB;2017-06-01;2;2;1;3;18;1.084000;96.451142;43
DS VDS 125 IB;2017-06-01;3;1;1;1;21;0.346363;126.190454;25
DS VDS 125 IB;2017-06-01;3;1;1;2;4;0.346363;126.190454;25
DS VDS 125 IB;2017-06-01;3;1;1;3;0;0.346363;126.190454;25
DS VDS 125 IB;2017-06-01;3;2;1;1;34;1.308048;94.555365;68
DS VDS 125 IB;2017-06-01;3;2;1;2;10;1.308048;94.555365;68
DS VDS 125 IB;2017-06-01;3;2;1;3;24;1.308048;94.555365;68
DS VDS 125 IB;2017-06-01;4;1;1;1;71;0.614878;117.361951;78
DS VDS 125 IB;2017-06-01;4;1;1;2;5;0.614878;117.361951;78
DS VDS 125 IB;2017-06-01;4;1;1;3;2;0.614878;117.361951;78
DS VDS 125 IB;2017-06-01;4;2;1;1;73;1.764655;94.933448;130
DS VDS 125 IB;2017-06-01;4;2;1;2;11;1.764655;94.933448;130
